t,value,lat,lng,,,,
1,0.31,10.5,34.5,,,,
1,0.387,9.5,34.5,,,,
1,0.378,8.5,34.5,,,,
1,0.395,7.5,34.5,,,,
1,0.343,12.5,34.5,,,,180
1,0.317,11.5,34.5,,,,
1,0.314,10.5,33.5,,,,20
1,0.341,9.5,33.5,,,,
1,0.392,8.5,33.5,,,,
1,0.396,7.5,33.5,,,,
1,0.322,12.5,33.5,,,,
1,0.305,11.5,33.5,,,,
1,0.284,10.5,32.5,,,,
1,0.316,9.5,32.5,,,,
1,0.355,8.5,32.5,,,,
1,0.386,7.5,32.5,,,,
1,0.355,12.5,32.5,,,,
1,0.287,11.5,32.5,,,,
1,0.286,10.5,31.5,,,,
1,0.31,9.5,31.5,,,,
1,0.361,8.5,31.5,,,,
1,0.337,7.5,31.5,,,,
1,0.299,12.5,31.5,,,,
1,0.306,11.5,31.5,,,,
1,0.298,10.5,30.5,,,,
1,0.329,9.5,30.5,,,,
1,0.399,8.5,30.5,,,,
1,0.36,7.5,30.5,,,,
1,0.27,12.5,30.5,,,,
1,0.291,11.5,30.5,,,,
1,0.265,10.5,29.5,,,,
1,0.272,9.5,29.5,,,,
1,0.4,8.5,29.5,,,,
1,0.356,7.5,29.5,,,,
1,0.295,12.5,29.5,,,,
1,0.3,11.5,29.5,,,,
1,0.258,10.5,28.5,,,,
1,0.313,9.5,28.5,,,,
1,0.369,8.5,28.5,,,,
1,0.344,7.5,28.5,,,,
1,0.256,12.5,28.5,,,,
1,0.278,11.5,28.5,,,,
1,0.289,10.5,27.5,,,,
1,0.402,9.5,27.5,,,,
1,0.323,8.5,27.5,,,,
1,0.326,7.5,27.5,,,,
1,0.258,12.5,27.5,,,,
1,0.292,11.5,27.5,,,,
1,0.22,10.5,26.5,,,,
1,0.31,9.5,26.5,,,,
1,0.313,8.5,26.5,,,,
1,0.342,7.5,26.5,,,,
1,0.3,12.5,26.5,,,,
1,0.282,11.5,26.5,,,,
1,0.228,10.5,25.5,,,,
1,0.308,9.5,25.5,,,,
1,0.346,8.5,25.5,,,,
1,0.374,7.5,25.5,,,,
1,0.341,12.5,25.5,,,,
1,0.256,11.5,25.5,,,,
1,0.264,10.5,24.5,,,,
1,0.293,9.5,24.5,,,,
1,0.349,8.5,24.5,,,,
1,0.367,7.5,24.5,,,,
1,0.325,12.5,24.5,,,,
1,0.245,11.5,24.5,,,,
2,0.293,10.5,34.5,,,,
2,0.327,9.5,34.5,,,,
2,0.36,8.5,34.5,,,,
2,0.409,7.5,34.5,,,,
2,0.37,12.5,34.5,,,,
2,0.304,11.5,34.5,,,,
2,0.307,10.5,33.5,,,,
2,0.325,9.5,33.5,,,,
2,0.383,8.5,33.5,,,,
2,0.392,7.5,33.5,,,,
2,0.351,12.5,33.5,,,,
2,0.314,11.5,33.5,,,,
2,0.298,10.5,32.5,,,,
2,0.324,9.5,32.5,,,,
2,0.374,8.5,32.5,,,,
2,0.38,7.5,32.5,,,,
2,0.319,12.5,32.5,,,,
2,0.289,11.5,32.5,,,,
2,0.258,10.5,31.5,,,,
2,0.268,9.5,31.5,,,,
2,0.347,8.5,31.5,,,,
2,0.378,7.5,31.5,,,,
2,0.302,12.5,31.5,,,,
2,0.285,11.5,31.5,,,,
2,0.217,10.5,30.5,,,,
2,0.266,9.5,30.5,,,,
2,0.329,8.5,30.5,,,,
2,0.372,7.5,30.5,,,,
2,0.295,12.5,30.5,,,,
2,0.318,11.5,30.5,,,,
2,0.242,10.5,29.5,,,,
2,0.295,9.5,29.5,,,,
2,0.391,8.5,29.5,,,,
2,0.374,7.5,29.5,,,,
2,0.296,12.5,29.5,,,,
2,0.28,11.5,29.5,,,,
2,0.298,10.5,28.5,,,,
2,0.356,9.5,28.5,,,,
2,0.317,8.5,28.5,,,,
2,0.329,7.5,28.5,,,,
2,0.29,12.5,28.5,,,,
2,0.29,11.5,28.5,,,,
2,0.354,10.5,27.5,,,,
2,0.395,9.5,27.5,,,,
2,0.367,8.5,27.5,,,,
2,0.376,7.5,27.5,,,,
2,0.297,12.5,27.5,,,,
2,0.309,11.5,27.5,,,,
2,0.276,10.5,26.5,,,,
2,0.375,9.5,26.5,,,,
2,0.358,8.5,26.5,,,,
2,0.342,7.5,26.5,,,,
2,0.279,12.5,26.5,,,,
2,0.292,11.5,26.5,,,,
2,0.297,10.5,25.5,,,,
2,0.347,9.5,25.5,,,,
2,0.339,8.5,25.5,,,,
2,0.368,7.5,25.5,,,,
2,0.265,12.5,25.5,,,,
2,0.273,11.5,25.5,,,,
2,0.24,10.5,24.5,,,,
2,0.277,9.5,24.5,,,,
2,0.288,8.5,24.5,,,,
2,0.368,7.5,24.5,,,,
2,0.294,12.5,24.5,,,,
2,0.3,11.5,24.5,,,,
